Common Snapping Turtle, Chelydra serpentina
Spiny Softshell, Apalone spinifera
Spotted Turtle, Clemmys guttata
Painted Turtle, Chrysemys picta
Chicken Turtle, Deirochelys reticularia
Bog Turtle, Glyptemys muhlenbergii
Yellowbelly Slider, Trachemys scripta
Diamondback Terrapin, Malaclemys terrapin
River Cooter, Pseudemys concinna
Florida Cooter, Pseudemys floridana
Redbelly Turtle, Pseudemys rubriventris
Eastern Box Turtle, Terrapene carolina
Striped Mud Turtle, Kinosternon baurii
Eastern Mud Turtle, Kinosternon subrubrum
Stripeneck Musk Turtle, Sternotherus minior
Common Musk Turtle, Sternotherus odoratus
Eastern Musk Turtle, Sternotherus odoratus
