American Toad, Bufo americanus
Fowler's Toad, Bufo fowleri
Oak Toad, Bufo quercicus
Southern Toad, Bufo terrestris
Eastern Narrowmouth Toad, Gastrophryne carolinensis
Eastern Spadefoot, Scaphiopus holbrookii 
Northern Cricket Frog, Acris crepitans
Southern Cricket Frog, Acris gryllus
Pine Barrens Treefrog, Hyla andersonii
Gray Treefrog, Hyla chrysoscelis or Hyla versicolor 
Green Treefrog, Hyla cinerea
Pine Woods Treefrog, Hyla femoralis
Barking Treefrog, Hyla gratiosa 
Squirrel Treefrog,  Hyla squirella 
Mountain Chorus Frog, Pseudacris brachyphona
Brimley's Chorus Frog, Pseudacris brimleyi
Spring Peeper, Pseudacris crucifer 
Upland Chorus Frog, Pseudacris feriarum
Southern Chorus Frog, Pseudacris nigrita
Little Grass Frog, Pseudacris ocularis
Ornate Chorus Frog, Pseudacris ornata
Carolina Gopher Frog, Rana capito 
Bullfrog, Rana catesbeiana 
Green and Bronze Frog, Rana clamitans 
River Frog, Rana heckscheri
Pickerel Frog, Rana palustris
Southern Leopard Frog, Rana sphenocephala 
Wood Frog, Rana sylvatica 
Carpenter Frog, Rana virgatipes 
